season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2023,JAX,00-0036971,T.Lawrence,16,985,0.6470409101272261,0.6146047887527784,3.2436121374447757
2023,DAL,00-0033077,D.Prescott,18,1126,0.6359477545619732,0.6068650975911393,2.908265697083386
2023,LAC,00-0036355,J.Herbert,13,776,0.6594116919894142,0.631352789322124,2.8058902667289995
2023,MIN,00-0033319,N.Mullens,3,182,0.6905700741835196,0.6707516898386777,1.9818384344841913
2023,CIN,00-0035100,J.Browning,7,403,0.6415805133293461,0.6222877601860645,1.9292753143281538
2023,LV,00-0026625,B.Hoyer,1,47,0.7021276595744681,0.6845879954226474,1.753966415182073
2023,NYG,00-0028118,T.Taylor,5,282,0.6190785838752177,0.6055306913456626,1.3547892529555252
2023,SEA,00-0030565,G.Smith,15,830,0.6504153034879422,0.6416350744766023,0.8780229011339835
2023,NYJ,00-0037013,Z.Wilson,11,593,0.6821381177924499,0.6747585274558495,0.7379590336600456
2023,GB,00-0036264,J.Love,19,1138,0.6010713362264146,0.5987048959823471,0.23664402440675616
2023,BAL,00-0034796,L.Jackson,18,1095,0.57185959176948,0.572437816899419,-0.05782251299389488
2023,DEN,00-0035264,J.Stidham,2,122,0.6182650862068966,0.6192149878198538,-0.0949901612957233
2023,BUF,00-0034857,J.Allen,19,1218,0.5881212040291178,0.5891282289385704,-0.10070249094525809
2023,ARI,00-0038582,C.Tune,1,48,0.6666666666666666,0.668673807134231,-0.20071404675642648
2023,TB,00-0034855,B.Mayfield,19,1139,0.6327553749379343,0.6370603485353563,-0.460572547712122
2023,MIA,00-0036212,T.Tagovailoa,18,1049,0.6093496212625873,0.6146402836638084,-0.5290662401221122
2023,NYJ,00-0034177,T.Boyle,2,100,0.7061688311688312,0.7119085856217455,-0.5739754452914387
2023,NYG,00-0035710,D.Jones,6,312,0.6597607174395393,0.6664806217861945,-0.6719904346655156
2023,LA,00-0026498,M.Stafford,16,985,0.6047505463113466,0.6144146988215682,-0.9664152510221564
2023,NYG,00-0038476,T.DeVito,6,300,0.6343381087316398,0.6443244887966105,-0.9986380064970827
2023,PHI,00-0036389,J.Hurts,18,1094,0.5981658163408308,0.6106714013419768,-1.2505585001146116
2023,MIN,00-0033949,J.Dobbs,4,236,0.6175718917952046,0.6327183196996211,-1.5146427904416462
2023,HOU,00-0039163,C.Stroud,17,988,0.6051376497607046,0.6210561135991117,-1.5918463838407049
2023,SEA,00-0035704,D.Lock,2,109,0.6443994601889338,0.6612724724367723,-1.6873012247838473
2023,SF,00-0037834,B.Purdy,19,1078,0.5500194560875797,0.5690429588719104,-1.9023502784330677
2023,NE,00-0038108,B.Zappe,6,330,0.6172535191984907,0.6374200610745625,-2.0166541876071853
2023,LV,00-0031345,J.Garoppolo,6,295,0.6106786754315429,0.6322554000912108,-2.1576724659667943
2023,LV,00-0038579,A.O'Connell,10,587,0.5944473579567389,0.6163091831214387,-2.186182516469986
2023,DET,00-0033106,J.Goff,20,1283,0.5807547620004698,0.6082828638726058,-2.7528101872136075
2023,NO,00-0031280,D.Carr,17,985,0.5902636195143558,0.6193467512463185,-2.9083131731962717
2023,IND,00-0035289,G.Minshew,13,832,0.5890351166814456,0.6223921367798416,-3.3357020098396086
2023,NE,00-0036972,M.Jones,11,604,0.6121457160071037,0.6483488874556628,-3.6203171448559193
2023,TEN,00-0029701,R.Tannehill,8,420,0.574878781221841,0.6156989275146493,-4.082014629280823
2023,CHI,00-0036945,J.Fields,13,783,0.5738485191585279,0.6166445512400595,-4.279603208153162
2023,DEN,00-0029263,R.Wilson,15,859,0.601860438849663,0.6458906636870848,-4.403022483742177
2023,PIT,00-0038102,K.Pickett,12,618,0.5742365069703469,0.6233981451822266,-4.916163821187965
2023,KC,00-0027948,B.Gabbert,1,57,0.6140350877192983,0.6643057815861284,-5.027069386683013
2023,CLE,00-0038583,D.Thompson-Robinson,3,183,0.6210126946452332,0.6755101119591256,-5.449741731389245
2023,LAC,00-0035282,E.Stick,4,267,0.6193052355350743,0.6746996218966643,-5.53943863615901
2023,BAL,00-0035993,T.Huntley,1,56,0.6785714285714286,0.7394320006881442,-6.086057211671557
2023,TEN,00-0039152,W.Levis,9,494,0.5798483165714804,0.6412109880142386,-6.13626714427582
2023,CAR,00-0039150,B.Young,16,1004,0.6117120646320698,0.674531589313408,-6.281952468133811
2023,ARI,00-0033949,J.Dobbs,8,489,0.5938885843907266,0.6574507122448665,-6.356212785414002
2023,CHI,00-0038416,T.Bagent,4,253,0.5660635839035068,0.6297479855440282,-6.368440164052142
2023,IND,00-0039164,A.Richardson,4,159,0.5961253819709702,0.6639364578752622,-6.7811075904292055
